a52dec 0.8.0-2
pcre2 10.44-1
pcsclite 2.3.1-1
perl 5.40.0-1
perl-clone 0.47-1
perl-encode-locale 1.05-13
perl-error 0.17029-7
perl-file-listing 6.16-4
perl-html-parser 3.83-1
perl-html-tagset 3.24-2
perl-http-cookiejar 0.014-3
perl-http-cookies 6.11-2
perl-http-daemon 6.16-4
perl-http-date 6.06-3
perl-http-message 7.00-1
perl-http-negotiate 6.01-14
perl-io-html 1.004-6
perl-libwww 6.77-2
perl-lwp-mediatypes 6.04-6
perl-mailtools 2.22-1
perl-net-http 6.23-4
perl-timedate 2.33-7
perl-try-tiny 0.32-2
perl-uri 5.31-1
perl-www-robotrules 6.02-14
perl-xml-parser 2.47-2
phonon-qt6 4.12.0-4
phonon-qt6-vlc 0.12.0-2
pinentry 1.3.1-5
pipewire 1:1.2.7-1
pipewire-alsa 1:1.2.7-1
pipewire-audio 1:1.2.7-1
pipewire-jack 1:1.2.7-1
pipewire-pulse 1:1.2.7-1
pixman 0.44.2-1
pkgconf 2.3.0-1
plasma-activities 6.2.5-1
playerctl 2.4.1-4
plymouth-git 24.004.60.r86.g8bc9364c-1
plymouth-theme-optimus-git r47.5d88174-1
polkit 126-2
polkit-gnome 0.105-11
polkit-qt6 0.200.0-1
poppler 25.01.0-1
poppler-qt6 25.01.0-1
popt 1.19-2
portaudio 1:19.7.0-3
procps-ng 4.0.5-1
psmisc 23.7-1
pugixml 1.14-1
python 3.13.1-1
python-attrs 23.2.0-4
python-autocommand 2.2.2-7
python-babel 2.15.0-2
python-beautifulsoup4 4.12.3-3
python-build 1.2.2-3
python-cairo 1.27.0-2
python-cffi 1.17.1-2
python-charset-normalizer 3.4.1-1
python-configobj 5.0.9-5
python-contourpy 1.3.1-2
python-cryptography 44.0.0-1
python-cycler 0.12.1-3
python-dateutil 2.9.0-6
python-dbus 1.3.2-5
python-docutils 1:0.21.2-3
python-dulwich 0.22.7-1
python-fastbencode 0.3.1-2
python-filelock 3.16.1-2
python-fonttools 4.55.3-2
python-gobject 3.50.0-2
python-idna 3.10-2
python-imagesize 1.4.1-6
python-installer 0.7.0-10
python-jaraco.collections 5.1.0-1
python-jaraco.context 6.0.1-1
python-jaraco.functools 4.1.0-1
python-jaraco.text 4.0.0-2
python-jinja 1:3.1.5-1
python-kiwisolver 1.4.5-5
python-markupsafe 2.1.5-3
python-matplotlib 3.10.0-1
python-merge3 0.0.15-2
python-more-itertools 10.5.0-1
python-numpy 2.2.1-2
python-packaging 24.2-3
python-patiencediff 0.2.15-2
python-pillow 11.0.0-3
python-pip 24.3.1-3
python-platformdirs 4.3.6-2
python-pybluez 0.23.r58.g4d46ce1-4
python-pycparser 2.22-3
python-pygments 2.19.1-1
python-pyparsing 3.1.2-3
python-pyproject-hooks 1.2.0-3
python-pytz 2024.2-2
python-pywal16 1:3.7.2-1
python-requests 2.32.3-4
python-setproctitle 1.3.4-1
python-setuptools 1:75.2.0-4
python-six 1.17.0-1
python-snowballstemmer 2.2.0-7
python-soupsieve 2.6-2
python-sphinx 8.1.3-2
python-sphinx-alabaster-theme 1.0.0-4
python-sphinx-basic-ng 1.0.0b2-3
python-sphinx-copybutton 0.5.2-3
python-sphinx-furo 2024.08.06-2
python-sphinx-inline-tabs 2023.04.21-3
python-sphinxcontrib-applehelp 2.0.0-3
python-sphinxcontrib-devhelp 2.0.0-4
python-sphinxcontrib-htmlhelp 2.1.0-3
python-sphinxcontrib-jsmath 1.0.1-19
python-sphinxcontrib-qthelp 2.0.0-3
python-sphinxcontrib-serializinghtml 2.0.0-3
python-sphinxext-opengraph 0.9.1-3
python-tqdm 4.67.1-2
python-tzlocal 1:5.2-3
python-unidecode 1.3.8-4
python-urllib3 2.3.0-1
python-wheel 0.45.0-3
python-yaml 6.0.2-2
qca-qt6 2.3.9-3
qhull 2020.2-5
qqc2-desktop-style 6.10.0-1
qt5-base 5.15.16+kde+r130-3
qt5-declarative 5.15.16+kde+r22-3
qt5-svg 5.15.16+kde+r5-3
qt5-translations 5.15.16-3
qt5-wayland 5.15.16+kde+r59-3
qt5-x11extras 5.15.16-3
qt5ct 1.8-2
qt6-5compat 6.8.1-1
qt6-base 6.8.1-1
qt6-declarative 6.8.1-3
qt6-multimedia 6.8.1-2
qt6-multimedia-ffmpeg 6.8.1-2
qt6-shadertools 6.8.1-1
qt6-speech 6.8.1-1
qt6-svg 6.8.1-1
qt6-tools 6.8.1-2
qt6-translations 6.8.1-1
qt6-virtualkeyboard 6.8.1-1
qt6-wayland 6.8.1-1
qt6ct-kde 0.9-16
rate-mirrors 0.18.0-1
rav1e 0.7.1-1
readline 8.2.013-1
rhash 1.4.4-1
ripgrep 14.1.1-1
ripgrep-all 0.10.6-3
rofi-wayland 1.7.7.1-1
rsync 3.4.1-1
rtkit 0.13-3
rubberband 4.0.0-1
rust 1:1.84.0-1
samba 2:4.21.3-1
sbc 2.0-2
scdoc 1.11.3-1
sdbus-cpp 2.1.0-2
sddm 0.21.0-6
sdl2 2.30.11-1
seatd 0.9.1-1
sed 4.9-3
serd 0.32.2-1
serf 1.3.10-2
shaderc 2024.4-1
shadow 4.16.0-1
shared-mime-info 2.4-1
simde 0.8.0-1
simple-sddm-theme-2-git _-1
slang 2.3.3-3
slurp 1.5.0-1
smbclient 2:4.21.3-1
snappy 1.2.1-2
sndio 1.10.0-1
sof-firmware 2024.09.2-1
solid 6.10.0-1
sonnet 6.10.0-1
sord 0.16.16-1
sound-theme-freedesktop 0.8-6
source-highlight 3.1.9-13
spdlog 1.15.0-2
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 2024.4.rc2-1
spotify 1:1.2.53.440-1
sqlite 3.48.0-2
sratom 0.6.16-1
srt 1.5.4-1
startup-notification 0.12-8
subversion 1.14.5-1
sudo 1.9.16.p2-2
svt-av1 2.3.0-1
swaync 0.10.1-3
swaync-widgets-git r27.895f5b9-1
swww-git 0.9.5.r174.g1bd7166-1
syndication 6.10.0-1
syntax-highlighting 6.10.0-1
systemd 257.2-2
systemd-libs 257.2-2
systemd-sysvcompat 257.2-2
taglib 2.0.2-1
talloc 2.4.2-4
tar 1.35-2
tdb 1.4.12-2
tevent 1:0.16.1-4
texinfo 7.1.1-1
thunar 4.20.1-1
thunar-archive-plugin 0.5.3-1
thunar-media-tags-plugin 0.5.0-1
thunar-shares-plugin 1:0.3.2-3
thunar-vcs-plugin 0.3.0-1
thunar-volman 4.20.0-2
tilix 1.9.6-7
tinysparql 3.8.2-2
tomlplusplus 3.4.0-1
tpm2-tss 4.1.3-1
tslib 1.23-1
ttf-material-symbols-variable-git 4.0.0.r126.g1cdf3a19-1
ttf-nerd-fonts-symbols-common 3.3.0-1
ttf-nerd-fonts-symbols-mono 3.3.0-1
tzdata 2025a-1
udisks2 2.10.1-5
unzip 6.0-21
upower 1.90.7-1
usbmuxd 1.1.1-4
util-linux 2.40.4-1
util-linux-libs 2.40.4-1
v4l-utils 1.28.1-2
vapoursynth R70-2
vi 1:070224-6
vid.stab 1.1.1-2
vlc 3.0.21-11
vmaf 3.0.0-1
volume_key 0.3.12-10
vte-common 0.78.2-1
vte3 0.78.2-1
vulkan-headers 1:1.4.303-1
vulkan-icd-loader 1.4.303-1
waybar-git r3722.20ca48c3-1
wayland 1.23.1-1
wayland-protocols 1.39-1
webrtc-audio-processing-1 1.3-3
where-is-my-sddm-theme-git 1:r108.f9a49dd-1
which 2.21-6
wireplumber 0.5.7-1
wl-clipboard 1:2.2.1-2
wpa_supplicant 2:2.11-2
x264 3:0.164.r3108.31e19f9-2
x265 4.0-1
xapp 2.8.8-1
xcb-imdkit 1.0.9-1
xcb-proto 1.17.0-3
xcb-util 0.4.1-2
xcb-util-cursor 0.1.5-1
xcb-util-errors 1.0.1-2
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xcur2png 0.7.1-8
xdg-desktop-portal 1.18.4-2
xdg-desktop-portal-hyprland-git 1.3.8.r11.g8070f36d-1
xdg-utils 1.2.1-1
xf86-input-libinput 1.5.0-1
xfconf 4.20.0-2
xkeyboard-config 2.43-1
xorg-fonts-encodings 1.1.0-1
xorg-server 21.1.15-1
xorg-server-common 21.1.15-1
xorg-setxkbmap 1.3.4-2
xorg-xauth 1.1.3-1
xorg-xkbcomp 1.4.7-1
xorg-xprop 1.2.8-1
xorg-xset 1.2.5-2
xorg-xwayland 24.1.4-1
xorgproto 2024.1-2
xvidcore 1.3.7-3
xxhash 0.8.3-1
xz 5.6.3-1
yyjson 0.10.0-1
zeromq 4.3.5-2
zimg 3.0.5-1
zip 3.0-11
zix 0.4.2-2
zlib 1:1.3.1-2
zram-generator 1.2.1-1
zsh 5.9-5
zstd 1.5.6-1
